,team1,date,matchday,stadium,result,goals,team2
32,Torino,2022-04-10,Giornata n. 32,Casa,N,0,Milan
44,Roma,2022-04-10,Giornata n. 32,Casa,V,2,Salernitana
33,Sassuolo,2022-04-10,Giornata n. 32,Casa,V,2,Atalanta
40,Napoli,2022-04-10,Giornata n. 32,Casa,P,2,Fiorentina
33,Venezia,2022-04-10,Giornata n. 32,Casa,P,1,Udinese
34,Genoa,2022-04-10,Giornata n. 32,Casa,P,1,Lazio
31,Bologna,2022-04-11,Giornata n. 32,Casa,V,2,Sampdoria
41,Milan,2022-04-15,Giornata n. 33,Casa,V,2,Genoa
34,Spezia,2022-04-15,Giornata n. 33,Casa,P,1,Inter
42,Lazio,2022-04-16,Giornata n. 33,Casa,N,1,Torino
44,Juventus,2022-04-16,Giornata n. 33,Casa,N,1,Bologna
35,Cagliari,2022-04-16,Giornata n. 33,Casa,V,1,Sassuolo
35,Sampdoria,2022-04-16,Giornata n. 33,Casa,P,1,Salernitana
33,Udinese,2022-04-16,Giornata n. 33,Casa,V,4,Empoli
36,Fiorentina,2022-04-16,Giornata n. 33,Casa,V,1,Venezia
41,Napoli,2022-04-18,Giornata n. 33,Casa,N,1,Roma
45,Atalanta,2022-04-18,Giornata n. 33,Casa,P,1,Hellas Verona
34,Udinese,2022-04-20,Giornata n. 19,Casa,P,0,Salernitana
35,Hellas Verona,2022-04-23,Giornata n. 34,Casa,N,1,Sampdoria
45,Inter,2022-04-23,Giornata n. 34,Casa,V,3,Roma
34,Torino,2022-04-23,Giornata n. 34,Casa,V,2,Spezia
35,Venezia,2022-04-23,Giornata n. 34,Casa,P,1,Atalanta
36,Genoa,2022-04-24,Giornata n. 34,Casa,V,1,Cagliari
33,Bologna,2022-04-24,Giornata n. 34,Casa,N,2,Udinese
34,Salernitana,2022-04-24,Giornata n. 34,Casa,V,2,Fiorentina
36,Empoli,2022-04-24,Giornata n. 34,Casa,V,3,Napoli
43,Lazio,2022-04-24,Giornata n. 34,Casa,P,1,Milan
35,Sassuolo,2022-04-25,Giornata n. 34,Casa,P,1,Juventus
47,Atalanta,2022-04-27,Giornata n. 20,Casa,N,4,Torino
34,Bologna,2022-04-27,Giornata n. 20,Casa,V,2,Inter
39,Fiorentina,2022-04-27,Giornata n. 20,Casa,P,0,Udinese
37,Cagliari,2022-04-30,Giornata n. 35,Casa,P,1,Hellas Verona
36,Spezia,2022-04-30,Giornata n. 35,Casa,P,3,Lazio
37,Sampdoria,2022-04-30,Giornata n. 35,Casa,V,1,Genoa
