,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
8,Genoa,2021-10-22,Giornata n. 9,Ospiti,P,2,Torino,14.0,4.0,0,0,236.0,354.0,4.0,42.0,24.0,3,0
8,Torino,2021-10-22,Giornata n. 9,Casa,V,3,Genoa,17.0,6.0,0,0,377.0,491.0,2.0,58.0,19.0,2,0
8,Spezia,2021-10-22,Giornata n. 9,Ospiti,P,1,Sampdoria,17.0,7.0,0,0,571.0,700.0,8.0,70.0,9.0,1,0
8,Sassuolo,2021-10-23,Giornata n. 9,Casa,V,3,Venezia,14.0,7.0,0,0,584.0,654.0,5.0,63.0,14.0,1,0
8,Bologna,2021-10-23,Giornata n. 9,Casa,P,2,Milan,9.0,4.0,0,0,305.0,382.0,4.0,38.0,9.0,1,2
8,Venezia,2021-10-23,Giornata n. 9,Ospiti,P,1,Sassuolo,7.0,1.0,0,0,304.0,388.0,4.0,37.0,17.0,2,0
8,Empoli,2021-10-23,Giornata n. 9,Ospiti,V,4,Salernitana,9.0,4.0,1,1,268.0,371.0,2.0,41.0,17.0,3,0
8,Milan,2021-10-23,Giornata n. 9,Ospiti,V,4,Bologna,15.0,7.0,0,0,561.0,636.0,1.0,62.0,17.0,3,0
8,Salernitana,2021-10-23,Giornata n. 9,Casa,P,2,Empoli,12.0,5.0,0,0,426.0,537.0,7.0,59.0,16.0,1,0
8,Roma,2021-10-24,Giornata n. 9,Casa,N,0,Napoli,13.0,1.0,0,0,277.0,352.0,7.0,38.0,14.0,4,0
8,Udinese,2021-10-24,Giornata n. 9,Ospiti,N,1,Atalanta,9.0,3.0,0,0,239.0,333.0,3.0,33.0,17.0,2,0
8,Lazio,2021-10-24,Giornata n. 9,Ospiti,P,1,Hellas Verona,9.0,4.0,0,0,428.0,543.0,4.0,51.0,17.0,2,0
8,Napoli,2021-10-24,Giornata n. 9,Ospiti,N,0,Roma,11.0,2.0,0,0,485.0,568.0,4.0,62.0,10.0,1,0
8,Cagliari,2021-10-24,Giornata n. 9,Ospiti,P,0,Fiorentina,3.0,1.0,0,0,269.0,358.0,1.0,35.0,15.0,2,0
8,Juventus,2021-10-24,Giornata n. 9,Ospiti,N,1,Inter,15.0,3.0,1,1,443.0,533.0,2.0,51.0,19.0,2,0
8,Fiorentina,2021-10-24,Giornata n. 9,Casa,V,3,Cagliari,20.0,4.0,1,1,583.0,659.0,4.0,65.0,11.0,0,0
8,Atalanta,2021-10-24,Giornata n. 9,Casa,N,1,Udinese,8.0,3.0,0,0,582.0,683.0,6.0,67.0,16.0,2,0
8,Inter,2021-10-24,Giornata n. 9,Casa,N,1,Juventus,10.0,2.0,0,0,407.0,515.0,5.0,49.0,17.0,2,0
8,Hellas Verona,2021-10-24,Giornata n. 9,Casa,V,4,Lazio,16.0,7.0,0,0,416.0,525.0,3.0,49.0,15.0,2,0
9,Genoa,2021-10-26,Giornata n. 10,Ospiti,N,1,Spezia,8.0,1.0,1,1,368.0,493.0,3.0,53.0,17.0,4,0
9,Spezia,2021-10-26,Giornata n. 10,Casa,N,1,Genoa,13.0,3.0,0,0,319.0,436.0,3.0,47.0,15.0,2,0
