,h_team,h_goals,a_team,a_goals,date,matchday
0,Fiorentina,2,Roma,0,2022-05-09,Giornata n. 36
0,Udinese,2,Spezia,3,2022-05-14,Giornata n. 37
0,Hellas Verona,0,Torino,1,2022-05-14,Giornata n. 37
0,Roma,1,Venezia,1,2022-05-14,Giornata n. 37
0,Empoli,1,Salernitana,1,2022-05-14,Giornata n. 37
0,Cagliari,1,Inter,3,2022-05-15,Giornata n. 37
0,Bologna,1,Sassuolo,3,2022-05-15,Giornata n. 37
0,Napoli,3,Genoa,0,2022-05-15,Giornata n. 37
0,Milan,2,Atalanta,0,2022-05-15,Giornata n. 37
0,Juventus,2,Lazio,2,2022-05-16,Giornata n. 37
0,Sampdoria,4,Fiorentina,1,2022-05-16,Giornata n. 37
0,Torino,0,Roma,3,2022-05-20,Giornata n. 38
0,Lazio,3,Hellas Verona,3,2022-05-21,Giornata n. 38
0,Genoa,0,Bologna,1,2022-05-21,Giornata n. 38
0,Fiorentina,2,Juventus,0,2022-05-21,Giornata n. 38
0,Atalanta,0,Empoli,1,2022-05-21,Giornata n. 38
0,Sassuolo,0,Milan,3,2022-05-22,Giornata n. 38
0,Salernitana,0,Udinese,4,2022-05-22,Giornata n. 38
0,Inter,3,Sampdoria,0,2022-05-22,Giornata n. 38
0,Spezia,0,Napoli,3,2022-05-22,Giornata n. 38
0,Venezia,0,Cagliari,0,2022-05-22,Giornata n. 38
