,id,h_team,h_goals,a_team,a_goals,result,date,matchday,h_total_shots,h_shots_on_target,a_total_shots,a_shots_on_target,h_goals_on_penalty,h_total_penalties,a_goals_on_penalty,a_total_penalties,h_completed_passings,h_total_passings,a_completed_passings,a_total_passings,h_corners,a_corners,h_fouls,h_yellow_cards,h_red_cards,a_yellow_cards,a_red_cards,a_fouls,h_percentage_possession,a_percentage_possession
0,87,Inter,1,Juventus,1,N,2021-10-24,Giornata n. 9,10.0,2.0,15.0,3.0,0,0,1,1,407.0,515.0,443.0,533.0,5.0,2.0,17.0,2,0,2,0,19.0,49.0,51.0
0,88,Atalanta,1,Udinese,1,N,2021-10-24,Giornata n. 9,8.0,3.0,9.0,3.0,0,0,0,0,582.0,683.0,239.0,333.0,6.0,3.0,16.0,2,0,2,0,17.0,67.0,33.0
0,89,Fiorentina,3,Cagliari,0,V,2021-10-24,Giornata n. 9,20.0,4.0,3.0,1.0,1,1,0,0,583.0,659.0,269.0,358.0,4.0,1.0,11.0,0,0,2,0,15.0,65.0,35.0
0,90,Venezia,1,Salernitana,2,P,2021-10-26,Giornata n. 10,8.0,4.0,21.0,7.0,0,0,0,0,347.0,441.0,440.0,535.0,4.0,5.0,19.0,3,1,3,0,16.0,45.0,55.0
0,91,Milan,1,Torino,0,V,2021-10-26,Giornata n. 10,10.0,2.0,13.0,2.0,0,0,0,0,316.0,412.0,415.0,519.0,2.0,5.0,15.0,3,0,3,0,22.0,44.0,56.0
0,92,Spezia,1,Genoa,1,N,2021-10-26,Giornata n. 10,13.0,3.0,8.0,1.0,0,0,1,1,319.0,436.0,368.0,493.0,3.0,3.0,15.0,2,0,4,0,17.0,47.0,53.0
0,93,Udinese,1,Hellas Verona,1,N,2021-10-27,Giornata n. 10,16.0,5.0,4.0,1.0,0,0,1,1,202.0,305.0,487.0,583.0,7.0,4.0,15.0,1,0,2,0,12.0,34.0,66.0
0,94,Juventus,1,Sassuolo,2,P,2021-10-27,Giornata n. 10,14.0,2.0,8.0,4.0,0,0,0,0,471.0,558.0,346.0,426.0,4.0,4.0,23.0,1,0,5,0,18.0,57.0,43.0
0,95,Lazio,1,Fiorentina,0,V,2021-10-27,Giornata n. 10,5.0,2.0,9.0,1.0,0,0,0,0,472.0,555.0,485.0,573.0,3.0,6.0,17.0,3,0,3,0,14.0,49.0,51.0
0,96,Sampdoria,1,Atalanta,3,P,2021-10-27,Giornata n. 10,8.0,3.0,13.0,4.0,0,0,0,0,282.0,414.0,499.0,611.0,3.0,3.0,16.0,4,0,3,0,19.0,40.0,60.0
